name,price,avgpoint,category,location,num_reviews,dish_categories,time_open,dieu_hoa,bong_da,wifi,cuisines,min_price,max_price,avg_price,menu,time1,time2,start_time1,end_time1,start_time2,end_time2
Sushi Garden,50000 - 150000,7.2,Quán ăn,"310 Nguyễn Trãi, P. Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",67,"Lẩu, Sushi & Sashimi, Salad, Ăn vặt - Ăn nhẹ, Cơm, Nem", 10:00 - 22:00,1,0,1,lẩu sushi sashimi salad ăn vặt ăn nhẹ cơm nem set cá hồi lươn set nigiri tổng hợp set cá hồi cá trích ép trứng set gunkan tổng hợp set cơm lươn set lươn trứng cua set lươn cá trích ép trứng set sushi sành điệu bánh xèo nhật nigiri thanh cua,50000,150000,100000.0,"Set Cá Hồi, Lươn-159,000|Set Nigiri Tổng Hợp-105,000|Set Cá Hồi, Cá Trích, Ép Trứng-159,000|Set Gunkan Tổng Hợp-115,000|Set Cơm Lươn-149,000|Set Lươn Trứng Cua-149,000|Set Lươn, Cá Trích Ép Trứng-159,000|Set sushi sành điệu-435,000|Bánh Xèo Nhật-48,000|Nigiri Thanh Cua-23,000", 10:00 - 22:00,,10:00:00,22:00:00,10:00:00,
Cuốn N Roll Restaurant - Giảng Võ,40000 - 468000,7.1,Nhà hàng,"Tầng 3 Tòa Nhà D2, Giảng Võ, P. Giảng Võ, Quận Ba Đình, Hà Nội",64,"Heo quay, Bún, Lẩu, Món Huế, Ăn vặt - Ăn nhẹ", 17:00 - 21:30 | 09:00 - 13:30,1,0,1,heo quay bún lẩu món huế ăn vặt ăn nhẹ giỏ quà tết yêu thương cốt lẩu chua cay cốt lẩu gà lá é cốt lẩu bò mỹ cốt lẩu riêu cua cốt lẩu cá kèo cuốn nem lụi bún trộn set cuốn nem nướng nha trang set cuốn phơi sương,40000,468000,254000.0,"Giỏ Quà Tết Yêu Thương-458,000|Cốt Lẩu Chua Cay-108,000|Cốt Lẩu Gà Lá É-108,000|Cốt Lẩu Bò Mỹ-98,000|Cốt Lẩu Riêu Cua-108,000|Cốt Lẩu Cá Kèo-108,000|Cuốn Nem Lụi-151,800|Bún Trộn-85,800|Set 3 Cuốn Nem Nướng Nha Trang-64,000|Set 3 Cuốn Phơi Sương-84,000", 17:00 - 21:30 , 09:00 - 13:30,17:00:00,21:30:00,17:00:00,13:30:00
Mì Gia Tiến Đạt,35000 - 40000,7.6,Quán ăn,"1 Lê Duẩn, Quận Ba Đình, Hà Nội",18,"Bún, Hủ tiếu, Mì, Món nước, Sủi cảo, Dimsum", 14:00 - 00:00,0,0,0,bún hủ tiếu mì món nước sủi cảo dimsum mì vằn thắn nước mì vằn thắn trộn hủ tiếu trộn sủi cảo hủ tiếu nước,35000,40000,37500.0,"Mì Vằn Thắn Nước-55,000|Mì Vằn Thắn Trộn-55,000|Hủ Tiếu Trộn-55,000|Sủi Cảo-55,000|Hủ Tiếu Nước-55,000", 14:00 - 00:00,,14:00:00,00:00:00,14:00:00,
Phở Gà 95 - Doãn Kế Thiện,25000 - 50000,7.0,Quán ăn,"95 Doãn Kế Thiện, P. Mai Dịch, Quận Cầu Giấy, Hà Nội",1,"Thịt Gà, Phở, Món nước, Cháo, Miến", 06:00 - 22:00,0,0,0,thịt gà phở món nước cháo miến quẩy phở gà phở bò phở gà tràng trứng bún gà phở lòng mề phở gà đùi chặt cháo gà cháo thịt lợn xay cháo tràng trứng,25000,50000,37500.0,"Quẩy-6,000|Phở Gà-40,000|Phở Bò-40,000|Phở Gà Tràng Trứng-50,000|Bún Gà -40,000|Phở Lòng Mề-40,000|Phở Gà Đùi Chặt-80,000|Cháo Gà-40,000|Cháo Thịt Lợn Xay-40,000|Cháo Tràng Trứng-40,000", 06:00 - 22:00,,06:00:00,22:00:00,06:00:00,
Bánh Cuốn Phủ Lý - Đào Duy Từ,30000 - 55000,7.0,Quán ăn,"39 Đào Duy Từ, Quận Hoàn Kiếm, Hà Nội",9,"Bánh ướt, Bún, Bánh - Kẹo, Bánh cuốn, Ăn vặt - Ăn nhẹ", 07:00 - 14:30,0,0,0,bánh ướt bún bánh kẹo bánh cuốn ăn vặt ăn nhẹ bánh cuốn hành phi thịt nướng bánh cuốn phủ lý size đại chả giò sữa đậu nành bánh cuốn hành phi bún chả bún chả size đại,30000,55000,42500.0,"Bánh Cuốn Hành Phi Thịt Nướng-35,000|Bánh Cuốn Phủ Lý Size Đại-50,000|Chả Giò-10,000|Sữa Đậu Nành-10,000|Bánh Cuốn Hành Phi-20,000|Bún Chả-35,000|Bún Chả Size Đại-50,000", 07:00 - 14:30,,07:00:00,14:30:00,07:00:00,
Glamour - Cơm Niêu Singapore,50000 - 100000,3.0,Quán ăn,"39 Ngõ 100 Dịch Vọng Hậu, P. Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",1,Cơm, 09:00 - 21:00,1,0,1,cơm cơm niêu bò sốt cơm niêu cá kho tộ cơm niêu đùi gà sốt nấm cơm niêu thịt khâu nhục cơm niêu đùi gà sốt hải vị cơm rang cá mặn cơm niêu xá xíu ngô chiên khoai chiên sữa chua cacao,50000,100000,75000.0,"Cơm Niêu Bò Sốt-65,000|Cơm Niêu Cá Kho Tộ-65,000|Cơm Niêu Đùi Gà Sốt Nấm-65,000|Cơm Niêu Thịt Khâu Nhục-65,000|Cơm Niêu Đùi Gà Sốt Hải Vị-65,000|Cơm rang cá mặn-95,000|Cơm niêu xá xíu-65,000|Ngô Chiên-45,000|Khoai Chiên-45,000|Sữa Chua Cacao-39,000", 09:00 - 21:00,,09:00:00,21:00:00,09:00:00,
Anh Hòa French Bakery - Trường Chinh,100000 - 550000,7.3,Tiệm bánh,"580 Trường Chinh, P. Ngã Tư Sở, Quận Đống Đa, Hà Nội",6,Bánh - Kẹo, 07:30 - 22:30,1,0,0,bánh kẹo haPy day bc bánh cưới mẫu bánh cưới mẫu bánh cưới mẫu bánh cưới mẫu tiramisu kt fresh fruit cake kt tiramisu vuông kt fruit coconut cake kt tiramisu kt,100000,550000,325000.0,"Happy Day-BC008-1,000,000|Bánh cưới mẫu 10-1,000,000|Bánh cưới mẫu 11-1,500,000|Bánh cưới mẫu 12-1,200,000|Bánh cưới mẫu 13-1,500,000|Tiramisu - KT016-250,000|Fresh Fruit Cake - KT029-250,000|Tiramisu Vuông - KT032-330,000|Fruit Coconut Cake - KT048-250,000|Tiramisu - KT021-250,000", 07:30 - 22:30,,07:30:00,22:30:00,07:30:00,
Vịt Hầm Hồng Kông - 92 Hòa Mã,45000 - 500000,6.8,Quán ăn,"92 Hòa Mã, P. Ngô Thì Nhậm, Quận Hai Bà Trưng, Hà Nội",2,"Vịt tiềm, Lẩu, Thịt Vịt, Ăn vặt - Ăn nhẹ, Nem, Cá/bò viên", 08:30 - 22:30,0,0,0,vịt tiềm lẩu thịt vịt ăn vặt ăn nhẹ nem cá bò viên sủi chiên sủi nước đậu chiên dứa xào lòng vịt ngô xào lòng vịt rau xào lòng vịt trứng dầm ngải cứu trứng dầm lá mơ trứng dầm hành tây dưa xào tóp mỡ,45000,500000,272500.0,"Sủi Chiên-30,000|Sủi Nước-30,000|Đậu Chiên-30,000|Dứa Xào Lòng Vịt-50,000|Ngô Xào Lòng Vịt-50,000|Rau Xào Lòng Vịt-50,000|Trứng Dầm Ngải Cứu-40,000|Trứng Dầm Lá Mơ-40,000|Trứng Dầm Hành Tây-40,000|Dưa Xào Tóp Mỡ-50,000", 08:30 - 22:30,,08:30:00,22:30:00,08:30:00,
Bún Chả Liên Anh,30000 - 50000,7.3,Quán ăn,"148 Ngọc Khánh, P. Giàng Võ, Quận Ba Đình, Hà Nội",3,"Bún, Thịt Heo, Món nước, Ăn vặt - Ăn nhẹ, Nem", 08:00 - 21:00,0,0,0,bún thịt heo món nước ăn vặt ăn nhẹ nem bún chả nem cua bể bún nem cua bể nem cua up pepsi twister nước khoáng,30000,50000,40000.0,"Bún Chả-60,000|Nem Cua Bể-30,000|Bún Nem Cua Bể-70,000|NEM CUA -30,000|7 UP-15,000|Pepsi-15,000|Twister-15,000|Nước Khoáng-15,000", 08:00 - 21:00,,08:00:00,21:00:00,08:00:00,
The Alley - Trà Sữa Đài Loan - Khúc Thừa Dụ,41000 - 70000,6.5,Café/Dessert,"23 Khúc Thừa Dụ, P. Dịch Vọng, Quận Cầu Giấy, Hà Nội",13,"Trà, Sinh tố - Nước ép, Thức uống, Trà sữa, Sữa", 08:00 - 23:00,1,0,1,trà sinh tố nước ép thức uống trà sữa sữa sữa tươi kem trứng trân châu đường đen m sữa tươi trân châu đường đen matcha trân châu đường đen laTe trân châu đường đen l cacao trân châu đường đen sữa chua trân châu đường đen sữa chua nếp than trân châu đường đen sữa chua tự chọn sữa chua matcha trân châu đường đen sữa chua matcha nếp than trân châu đường đen,41000,70000,55500.0,"Sữa Tươi Kem Trứng Trân Châu Đường Đen M-65,000|Sữa Tươi Trân Châu Đường Đen-62,000|Matcha Trân Châu Đường Đen-65,000|Latte Trân Châu Đường Đen L-75,000|Cacao Trân Châu Đường Đen-65,000|Sữa Chua Trân Châu Đường Đen-65,000|Sữa Chua Nếp Than Trân Châu Đường Đen-68,000|Sữa Chua Tự Chọn-65,000|Sữa Chua Matcha Trân Châu Đường Đen-65,000|Sữa Chua Matcha Nếp Than Trân Châu Đường Đen-68,000", 08:00 - 23:00,,08:00:00,23:00:00,08:00:00,
