name,price,avgpoint,category,location,num_reviews,dish_categories,time_open,dieu_hoa,bong_da,wifi,cuisines,min_price,max_price,avg_price
Sushi Garden,50000 - 150000,7.2,Quán ăn,"310 Nguyễn Trãi, P. Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",67,"Lẩu, Sushi & Sashimi, Salad, Ăn vặt - Ăn nhẹ, Cơm, Nem", 10:00 - 22:00,1,0,1,Lẩu Sushi & Sashimi Salad Ăn vặt  Ăn nhẹ Cơm Nem; Lẩu Sushi & Sashimi Salad Ăn vặt  Ăn nhẹ Cơm Nem; Set Cá Hồi LươnSet Nigiri Tổng HợpSet Cá Hồi Cá Trích Ép TrứngSet Gunkan Tổng HợpSet Cơm LươnSet Lươn Trứng CuaSet Lươn Cá Trích Ép TrứngSet sushi sành điệuBánh Xèo NhậtNigiri Thanh Cua,50000,150000,100000.0
Cuốn N Roll Restaurant - Giảng Võ,40000 - 468000,7.1,Nhà hàng,"Tầng 3 Tòa Nhà D2, Giảng Võ, P. Giảng Võ, Quận Ba Đình, Hà Nội",64,"Heo quay, Bún, Lẩu, Món Huế, Ăn vặt - Ăn nhẹ", 17:00 - 21:30 | 09:00 - 13:30,1,0,1,Heo quay Bún Lẩu Món Huế Ăn vặt  Ăn nhẹ; Heo quay Bún Lẩu Món Huế Ăn vặt  Ăn nhẹ; Giỏ Quà Tết Yêu ThươngCốt Lẩu Chua CayCốt Lẩu Gà Lá ÉCốt Lẩu Bò MỹCốt Lẩu Riêu CuaCốt Lẩu Cá KèoCuốn Nem LụiBún TrộnSet  Cuốn Nem Nướng Nha TrangSet  Cuốn Phơi Sương,40000,468000,254000.0
Mì Gia Tiến Đạt,35000 - 40000,7.6,Quán ăn,"1 Lê Duẩn, Quận Ba Đình, Hà Nội",18,"Bún, Hủ tiếu, Mì, Món nước, Sủi cảo, Dimsum", 14:00 - 00:00,0,0,0,Bún Hủ tiếu Mì Món nước Sủi cảo Dimsum; Bún Hủ tiếu Mì Món nước Sủi cảo Dimsum; Mì Vằn Thắn NướcMì Vằn Thắn TrộnHủ Tiếu TrộnSủi CảoHủ Tiếu Nước,35000,40000,37500.0
Phở Gà 95 - Doãn Kế Thiện,25000 - 50000,7.0,Quán ăn,"95 Doãn Kế Thiện, P. Mai Dịch, Quận Cầu Giấy, Hà Nội",1,"Thịt Gà, Phở, Món nước, Cháo, Miến", 06:00 - 22:00,0,0,0,Thịt Gà Phở Món nước Cháo Miến; Thịt Gà Phở Món nước Cháo Miến; QuẩyPhở GàPhở BòPhở Gà Tràng TrứngBún Gà Phở Lòng MềPhở Gà Đùi ChặtCháo GàCháo Thịt Lợn XayCháo Tràng Trứng,25000,50000,37500.0
Bánh Cuốn Phủ Lý - Đào Duy Từ,30000 - 55000,7.0,Quán ăn,"39 Đào Duy Từ, Quận Hoàn Kiếm, Hà Nội",9,"Bánh ướt, Bún, Bánh - Kẹo, Bánh cuốn, Ăn vặt - Ăn nhẹ", 07:00 - 14:30,0,0,0,Bánh ướt Bún Bánh  Kẹo Bánh cuốn Ăn vặt  Ăn nhẹ; Bánh ướt Bún Bánh  Kẹo Bánh cuốn Ăn vặt  Ăn nhẹ; Bánh Cuốn Hành Phi Thịt NướngBánh Cuốn Phủ Lý Size ĐạiChả GiòSữa Đậu NànhBánh Cuốn Hành PhiBún ChảBún Chả Size Đại,30000,55000,42500.0
Glamour - Cơm Niêu Singapore,50000 - 100000,3.0,Quán ăn,"39 Ngõ 100 Dịch Vọng Hậu, P. Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",1,Cơm, 09:00 - 21:00,1,0,1,Cơm; Cơm; Cơm Niêu Bò SốtCơm Niêu Cá Kho TộCơm Niêu Đùi Gà Sốt NấmCơm Niêu Thịt Khâu NhụcCơm Niêu Đùi Gà Sốt Hải VịCơm rang cá mặnCơm niêu xá xíuNgô ChiênKhoai ChiênSữa Chua Cacao,50000,100000,75000.0
Bún Riêu Cua - Giảng Võ,20000 - 50000,6.8,"Ăn vặt/vỉa hè, Quán ăn","Ngõ 189 Giảng Võ, Quận Đống Đa, Hà Nội",3,"Bún, Món nước", 05:30 - 12:00,0,0,0,,20000,50000,35000.0
Anh Hòa French Bakery - Trường Chinh,100000 - 550000,7.3,Tiệm bánh,"580 Trường Chinh, P. Ngã Tư Sở, Quận Đống Đa, Hà Nội",6,Bánh - Kẹo, 07:30 - 22:30,1,0,0,Bánh  Kẹo; Bánh  Kẹo; Happy DayBCBánh cưới mẫu Bánh cưới mẫu Bánh cưới mẫu Bánh cưới mẫu Tiramisu  KTFresh Fruit Cake  KTTiramisu Vuông  KTFruit Coconut Cake  KTTiramisu  KT,100000,550000,325000.0
Vịt Hầm Hồng Kông - 92 Hòa Mã,45000 - 500000,6.8,Quán ăn,"92 Hòa Mã, P. Ngô Thì Nhậm, Quận Hai Bà Trưng, Hà Nội",2,"Vịt tiềm, Lẩu, Thịt Vịt, Ăn vặt - Ăn nhẹ, Nem, Cá/bò viên", 08:30 - 22:30,0,0,0,Vịt tiềm Lẩu Thịt Vịt Ăn vặt  Ăn nhẹ Nem Cá/bò viên; Vịt tiềm Lẩu Thịt Vịt Ăn vặt  Ăn nhẹ Nem Cá/bò viên; Sủi ChiênSủi NướcĐậu ChiênDứa Xào Lòng VịtNgô Xào Lòng VịtRau Xào Lòng VịtTrứng Dầm Ngải CứuTrứng Dầm Lá MơTrứng Dầm Hành TâyDưa Xào Tóp Mỡ,45000,500000,272500.0
Vó & Xách Bò - Hòa Mã,20000 - 100000,6.3,Quán ăn,"88 Hoà Mã, Quận Hai Bà Trưng, Hà Nội",3,Thịt Bò, 07:00 - 22:00,0,0,0,,20000,100000,60000.0
