name,price,avgpoint,category,location,num_reviews,dish_categories,time_open,dieu_hoa,bong_da,wifi,cuisines,min_price,max_price,avg_price,menu
Sushi Garden,50000 - 150000,7.2,Quán ăn,"310 Nguyễn Trãi, P. Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",67,"Lẩu, Sushi & Sashimi, Salad, Ăn vặt - Ăn nhẹ, Cơm, Nem", 10:00 - 22:00,1,0,1,lẩu sushi sashimi salad ăn vặt ăn nhẹ cơm nem lẩu sushi sashimi salad ăn vặt ăn nhẹ cơm nem set cá hồi lươnset nigiri tổng hợpset cá hồi cá trích ép trứngset gunkan tổng hợpset cơm lươnset lươn trứng cuaset lươn cá trích ép trứngset sushi sành điệubánh xèo nhậtnigiri thanh cua,50000,150000,100000.0,lẩu sushi sashimi salad ăn vặt ăn nhẹ cơm nem set cá hồi lươnset nigiri tổng hợpset cá hồi cá trích ép trứngset gunkan tổng hợpset cơm lươnset lươn trứng cuaset lươn cá trích ép trứngset sushi sành điệubánh xèo nhậtnigiri thanh cua
Cuốn N Roll Restaurant - Giảng Võ,40000 - 468000,7.1,Nhà hàng,"Tầng 3 Tòa Nhà D2, Giảng Võ, P. Giảng Võ, Quận Ba Đình, Hà Nội",64,"Heo quay, Bún, Lẩu, Món Huế, Ăn vặt - Ăn nhẹ", 17:00 - 21:30 | 09:00 - 13:30,1,0,1,heo quay bún lẩu món huế ăn vặt ăn nhẹ heo quay bún lẩu món huế ăn vặt ăn nhẹ giỏ quà tết yêu thươngcốt lẩu chua caycốt lẩu gà lá écốt lẩu bò mỹcốt lẩu riêu cuacốt lẩu cá kèocuốn nem lụibún trộnset cuốn nem nướng nha trangset cuốn phơi sương,40000,468000,254000.0,heo quay bún lẩu món huế ăn vặt ăn nhẹ giỏ quà tết yêu thươngcốt lẩu chua caycốt lẩu gà lá écốt lẩu bò mỹcốt lẩu riêu cuacốt lẩu cá kèocuốn nem lụibún trộnset cuốn nem nướng nha trangset cuốn phơi sương
Mì Gia Tiến Đạt,35000 - 40000,7.6,Quán ăn,"1 Lê Duẩn, Quận Ba Đình, Hà Nội",18,"Bún, Hủ tiếu, Mì, Món nước, Sủi cảo, Dimsum", 14:00 - 00:00,0,0,0,bún hủ tiếu mì món nước sủi cảo dimsum bún hủ tiếu mì món nước sủi cảo dimsum mì vằn thắn nướcmì vằn thắn trộnhủ tiếu trộnsủi cảohủ tiếu nước,35000,40000,37500.0,bún hủ tiếu mì món nước sủi cảo dimsum mì vằn thắn nướcmì vằn thắn trộnhủ tiếu trộnsủi cảohủ tiếu nước
Phở Gà 95 - Doãn Kế Thiện,25000 - 50000,7.0,Quán ăn,"95 Doãn Kế Thiện, P. Mai Dịch, Quận Cầu Giấy, Hà Nội",1,"Thịt Gà, Phở, Món nước, Cháo, Miến", 06:00 - 22:00,0,0,0,thịt gà phở món nước cháo miến thịt gà phở món nước cháo miến quẩyphở gàphở bòphở gà tràng trứngbún gà phở lòng mềphở gà đùi chặtcháo gàcháo thịt lợn xaycháo tràng trứng,25000,50000,37500.0,thịt gà phở món nước cháo miến quẩyphở gàphở bòphở gà tràng trứngbún gà phở lòng mềphở gà đùi chặtcháo gàcháo thịt lợn xaycháo tràng trứng
Bánh Cuốn Phủ Lý - Đào Duy Từ,30000 - 55000,7.0,Quán ăn,"39 Đào Duy Từ, Quận Hoàn Kiếm, Hà Nội",9,"Bánh ướt, Bún, Bánh - Kẹo, Bánh cuốn, Ăn vặt - Ăn nhẹ", 07:00 - 14:30,0,0,0,bánh ướt bún bánh kẹo bánh cuốn ăn vặt ăn nhẹ bánh ướt bún bánh kẹo bánh cuốn ăn vặt ăn nhẹ bánh cuốn hành phi thịt nướngbánh cuốn phủ lý size đạichả giòsữa đậu nànhbánh cuốn hành phibún chảbún chả size đại,30000,55000,42500.0,bánh ướt bún bánh kẹo bánh cuốn ăn vặt ăn nhẹ bánh cuốn hành phi thịt nướngbánh cuốn phủ lý size đạichả giòsữa đậu nànhbánh cuốn hành phibún chảbún chả size đại
Glamour - Cơm Niêu Singapore,50000 - 100000,3.0,Quán ăn,"39 Ngõ 100 Dịch Vọng Hậu, P. Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",1,Cơm, 09:00 - 21:00,1,0,1,cơm cơm cơm niêu bò sốtcơm niêu cá kho tộcơm niêu đùi gà sốt nấmcơm niêu thịt khâu nhụcơm niêu đùi gà sốt hải vịcơm rang cá mặncơm niêu xá xíungô chiênkhoai chiênsữa chua cacao,50000,100000,75000.0,cơm cơm niêu bò sốtcơm niêu cá kho tộcơm niêu đùi gà sốt nấmcơm niêu thịt khâu nhụCơm niêu đùi gà sốt hải vịcơm rang cá mặncơm niêu xá xíungô chiênkhoai chiênsữa chua cacao
Bún Riêu Cua - Giảng Võ,20000 - 50000,6.8,"Ăn vặt/vỉa hè, Quán ăn","Ngõ 189 Giảng Võ, Quận Đống Đa, Hà Nội",3,"Bún, Món nước", 05:30 - 12:00,0,0,0,bún món nước nan,20000,50000,35000.0,nan
Anh Hòa French Bakery - Trường Chinh,100000 - 550000,7.3,Tiệm bánh,"580 Trường Chinh, P. Ngã Tư Sở, Quận Đống Đa, Hà Nội",6,Bánh - Kẹo, 07:30 - 22:30,1,0,0,bánh kẹo bánh kẹo hapy daybcbánh cưới mẫu bánh cưới mẫu bánh cưới mẫu bánh cưới mẫu tiramisu ktfresh fruit cake ktiramisu vuông ktfruit coconut cake ktiramisu kt,100000,550000,325000.0,bánh kẹo haPy daybcbánh cưới mẫu bánh cưới mẫu bánh cưới mẫu bánh cưới mẫu tiramisu ktfresh fruit cake kTiramisu vuông ktfruit coconut cake kTiramisu kt
Vịt Hầm Hồng Kông - 92 Hòa Mã,45000 - 500000,6.8,Quán ăn,"92 Hòa Mã, P. Ngô Thì Nhậm, Quận Hai Bà Trưng, Hà Nội",2,"Vịt tiềm, Lẩu, Thịt Vịt, Ăn vặt - Ăn nhẹ, Nem, Cá/bò viên", 08:30 - 22:30,0,0,0,vịt tiềm lẩu thịt vịt ăn vặt ăn nhẹ nem cá bò viên vịt tiềm lẩu thịt vịt ăn vặt ăn nhẹ nem cá bò viên sủi chiênsủi nướcđậu chiêndứa xào lòng vịtngô xào lòng vịtrau xào lòng vịtrứng dầm ngải cứutrứng dầm lá mơtrứng dầm hành tâydưa xào tóp mỡ,45000,500000,272500.0,vịt tiềm lẩu thịt vịt ăn vặt ăn nhẹ nem cá bò viên sủi chiênsủi nướcđậu chiêndứa xào lòng vịtngô xào lòng vịtrau xào lòng vịTrứng dầm ngải cứutrứng dầm lá mơtrứng dầm hành tâydưa xào tóp mỡ
Vó & Xách Bò - Hòa Mã,20000 - 100000,6.3,Quán ăn,"88 Hoà Mã, Quận Hai Bà Trưng, Hà Nội",3,Thịt Bò, 07:00 - 22:00,0,0,0,thịt bò nan,20000,100000,60000.0,nan
