name,price,avgpoint,category,location,num_reviews,dish_categories,time_open,dieu_hoa,bong_da,wifi,cuisines
Sushi Garden,50.000đ - 150.000đ,7.2                        ,Quán ăn,"310 Nguyễn Trãi, P. Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",67,"Lẩu, Sushi & Sashimi, Salad, Ăn vặt - Ăn nhẹ, Cơm, Nem", 10:00 - 22:00,1,0,1,"Set Cá Hồi, Lươn-159,000|Set Nigiri Tổng Hợp-105,000|Set Cá Hồi, Cá Trích, Ép Trứng-159,000|Set Gunkan Tổng Hợp-115,000|Set Cơm Lươn-149,000|Set Lươn Trứng Cua-149,000|Set Lươn, Cá Trích Ép Trứng-159,000|Set sushi sành điệu-435,000|Bánh Xèo Nhật-48,000|Nigiri Thanh Cua-23,000"
Cuốn N Roll Restaurant - Giảng Võ,40.000đ - 468.000đ,7.1                        ,Nhà hàng,"Tầng 3 Tòa Nhà D2, Giảng Võ, P. Giảng Võ, Quận Ba Đình, Hà Nội",64,"Heo quay, Bún, Lẩu, Món Huế, Ăn vặt - Ăn nhẹ", 17:00 - 21:30 | 09:00 - 13:30,1,0,1,"Giỏ Quà Tết Yêu Thương-458,000|Cốt Lẩu Chua Cay-108,000|Cốt Lẩu Gà Lá É-108,000|Cốt Lẩu Bò Mỹ-98,000|Cốt Lẩu Riêu Cua-108,000|Cốt Lẩu Cá Kèo-108,000|Cuốn Nem Lụi-151,800|Bún Trộn-85,800|Set 3 Cuốn Nem Nướng Nha Trang-64,000|Set 3 Cuốn Phơi Sương-84,000"
Mì Gia Tiến Đạt,35.000đ - 40.000đ,7.6                        ,Quán ăn,"1 Lê Duẩn, Quận Ba Đình, Hà Nội",18,"Bún, Hủ tiếu, Mì, Món nước, Sủi cảo, Dimsum", 14:00 - 00:00,0,0,0,"Mì Vằn Thắn Nước-55,000|Mì Vằn Thắn Trộn-55,000|Hủ Tiếu Trộn-55,000|Sủi Cảo-55,000|Hủ Tiếu Nước-55,000"
Phở Gà 95 - Doãn Kế Thiện,25.000đ - 50.000đ,7.0                        ,Quán ăn,"95 Doãn Kế Thiện, P. Mai Dịch, Quận Cầu Giấy, Hà Nội",1,"Thịt Gà, Phở, Món nước, Cháo, Miến", 06:00 - 22:00,0,0,0,"Quẩy-6,000|Phở Gà-40,000|Phở Bò-40,000|Phở Gà Tràng Trứng-50,000|Bún Gà -40,000|Phở Lòng Mề-40,000|Phở Gà Đùi Chặt-80,000|Cháo Gà-40,000|Cháo Thịt Lợn Xay-40,000|Cháo Tràng Trứng-40,000"
Bánh Cuốn Phủ Lý - Đào Duy Từ,30.000đ - 55.000đ,7.0                        ,Quán ăn,"39 Đào Duy Từ, Quận Hoàn Kiếm, Hà Nội",9,"Bánh ướt, Bún, Bánh - Kẹo, Bánh cuốn, Ăn vặt - Ăn nhẹ", 07:00 - 14:30,0,0,0,"Bánh Cuốn Hành Phi Thịt Nướng-35,000|Bánh Cuốn Phủ Lý Size Đại-50,000|Chả Giò-10,000|Sữa Đậu Nành-10,000|Bánh Cuốn Hành Phi-20,000|Bún Chả-35,000|Bún Chả Size Đại-50,000"
Glamour - Cơm Niêu Singapore,50.000đ - 100.000đ,3.0                        ,Quán ăn,"39 Ngõ 100 Dịch Vọng Hậu, P. Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",1,Cơm, 09:00 - 21:00,1,0,1,"Cơm Niêu Bò Sốt-65,000|Cơm Niêu Cá Kho Tộ-65,000|Cơm Niêu Đùi Gà Sốt Nấm-65,000|Cơm Niêu Thịt Khâu Nhục-65,000|Cơm Niêu Đùi Gà Sốt Hải Vị-65,000|Cơm rang cá mặn-95,000|Cơm niêu xá xíu-65,000|Ngô Chiên-45,000|Khoai Chiên-45,000|Sữa Chua Cacao-39,000"
Bún Riêu Cua - Giảng Võ,20.000đ - 50.000đ,6.8                        ,"Ăn vặt/vỉa hè, Quán ăn","Ngõ 189 Giảng Võ, Quận Đống Đa, Hà Nội",3,"Bún, Món nước", 05:30 - 12:00,0,0,0,
Anh Hòa French Bakery - Trường Chinh,100.000đ - 550.000đ,7.3                        ,Tiệm bánh,"580 Trường Chinh, P. Ngã Tư Sở, Quận Đống Đa, Hà Nội",6,Bánh - Kẹo, 07:30 - 22:30,1,0,0,"Happy Day-BC008-1,000,000|Bánh cưới mẫu 10-1,000,000|Bánh cưới mẫu 11-1,500,000|Bánh cưới mẫu 12-1,200,000|Bánh cưới mẫu 13-1,500,000|Tiramisu - KT016-250,000|Fresh Fruit Cake - KT029-250,000|Tiramisu Vuông - KT032-330,000|Fruit Coconut Cake - KT048-250,000|Tiramisu - KT021-250,000"
Vịt Hầm Hồng Kông - 92 Hòa Mã,45.000đ - 500.000đ,6.8                        ,Quán ăn,"92 Hòa Mã, P. Ngô Thì Nhậm, Quận Hai Bà Trưng, Hà Nội",2,"Vịt tiềm, Lẩu, Thịt Vịt, Ăn vặt - Ăn nhẹ, Nem, Cá/bò viên", 08:30 - 22:30,0,0,0,"Sủi Chiên-30,000|Sủi Nước-30,000|Đậu Chiên-30,000|Dứa Xào Lòng Vịt-50,000|Ngô Xào Lòng Vịt-50,000|Rau Xào Lòng Vịt-50,000|Trứng Dầm Ngải Cứu-40,000|Trứng Dầm Lá Mơ-40,000|Trứng Dầm Hành Tây-40,000|Dưa Xào Tóp Mỡ-50,000"
Vó & Xách Bò - Hòa Mã,20.000đ - 100.000đ,6.3                        ,Quán ăn,"88 Hoà Mã, Quận Hai Bà Trưng, Hà Nội",3,Thịt Bò, 07:00 - 22:00,0,0,0,
