name,avgpoint,avg_price,num_reviews
Sushi Garden,7.2,100000.0,67
Cuốn N Roll Restaurant - Giảng Võ,7.1,254000.0,64
Mì Gia Tiến Đạt,7.6,37500.0,18
The Alley - Trà Sữa Đài Loan - Khúc Thừa Dụ,6.5,55500.0,13
Hải Sản Hương Lan - Nghĩa Dũng,6.5,127500.0,107
Nét Huế - Nguyễn Văn Huyên,7.3,100000.0,23
Pane e Vino - Ẩm Thực Ý - Nguyễn Khắc Cần,7.8,162500.0,39
Kim Oanh - Caramen & Chè Thập Cẩm,7.1,17500.0,25
Gà 36 - Hà Đông,6.2,135000.0,22
Bún Ốc Cô Béo,6.8,42500.0,41
Minh Food - Nem Chua Rán & Bánh Gà - Shop Online,9.4,35000.0,13
Master Tea 美茶 - Đội Cấn,7.9,38000.0,18
Izakaya Yancha - Ẩm Thực Nhật Bản - Triệu Việt Vương,7.9,160000.0,56
Tiệm Trà Linh Kòy - Thượng Đình,9.8,40000.0,80
Duy Tùng - Mì Trộn Indomie - Đào Tấn,7.9,30000.0,25
Pop Quán - Chân Gà & Cánh Gà Chiên Mắm - Tây Sơn,6.9,65000.0,24
Bánh Tráng Trộn Cô Toàn,6.7,22500.0,280
Hotdog Bamy - Quán Thánh,7.1,35000.0,14
Chè Khúc Bạch & Ăn Vặt 71 - Khâm Thiên,9.2,95000.0,31
Chè Nam Đồng - Khu Tập Thể Thành Công,7.2,17500.0,23
Cô Lê - Nem Nướng Nha Trang - Ao Sen,7.2,29000.0,26
Quán Mộc - Bò Tơ - KĐT Nam Cường,7.3,197500.0,12
Chè Juco,7.7,15000.0,12
Gà Rán KFC - Hoàng Quốc Việt,6.5,80000.0,35
Bún Bò Huế Thu Sương - Khuất Duy Tiến,6.5,45000.0,25
Phát Ký Mì Gia,7.1,47500.0,43
Super Tiger - Sữa Tươi Trân Châu Đường Đen - An Hưng,7.6,40000.0,19
Út Thúy - Gỏi Cuốn Sài Gòn,7.5,37500.0,20
Loving Hut - Cơm Chay - Chùa Láng,6.8,53500.0,81
Pizza Xtrum - Nguyễn Đức Cảnh,6.1,206000.0,14
Lotteria - Lotte Center,6.9,75000.0,59
Chè Mỏ Khoét - Ăn Vặt Các Loại,7.0,15000.0,23
Bánh Cuốn Cao Bằng - Nguyễn Văn Lộc,6.0,27500.0,11
Isushi Nguyễn Chí Thanh - Nhà Hàng Buffet Nhật Bản,8.0,350000.0,184
Ngọc Thạch Quán - Sữa Chua & Caramen - Lương Định Của,7.6,20000.0,409
"Jinro BBQ - Cơm, Lẩu & Nướng - Nguyễn Chí Thanh",6.8,215000.0,19
Hẻm Thượng Hải - Chinese BBQ & Dimsum - Nguyễn Thị Định,7.0,155000.0,16
Lạ Quán - Lẩu Thái Hải Sản,6.8,24000.0,48
Xofa Café & Bistro - Tống Duy Tân,7.7,40000.0,239
Dồi Sụn Nướng & Ăn Vặt - Shop Online,7.3,58500.0,14
Gà Rán Popeyes - Mac Plaza,6.8,115000.0,24
Cha Go Tea & Caf'e - Nguyễn Trãi,7.3,65000.0,55
Xôi Bà Sòn,6.0,22500.0,11
Bít Tết Hà Cúc - Hòe Nhai,7.3,95000.0,18
Cubin - Cơm Tấm Sườn Nướng & Bún Bò Huế,6.0,40000.0,15
Thủy Bụng - Nướng Bình Dân,6.7,75000.0,12
Phở Thìn - Đinh Tiên Hoàng,6.2,47500.0,47
Bún Thang Bà Đức - 48 Cầu Gỗ,6.3,42500.0,89
Bún Chả Que Tre Bình Chung - Trần Xuân Soạn,6.5,52500.0,44
Bánh Cuốn Cao Bằng - Thể Giao,7.3,40000.0,12
Lẩu Ếch Lò Đúc,6.3,160000.0,28
Tiệm Bánh Emoji - Bông Lan Trứng Muối & Đồ Uống Online - Thái Hà,8.2,209000.0,75
Cô Tám - Cơm Rang & Cơm Tấm - 126 Hồng Mai,5.6,34500.0,27
Phúc Long Hàng Điếu,5.7,50000.0,57
Bún Ngan Chặt - Hàng Cân,7.6,37500.0,28
Vịt 29 - Tô Hiệu - Cơm Xôi Phở Cháo,6.5,175000.0,38
Phở Bò Gốc Gạo - Ngọc Hà,6.9,35000.0,18
Paris Baguette - West Lake,7.2,35000.0,15
TOUS les JOURS - Keangnam Landmark,6.9,282500.0,12
Tiệm Gà Rán Số 19 - Hào Nam,7.5,125000.0,197
ThaiExpress - Vincom Center Nguyễn Chí Thanh,6.4,50000.0,40
Bún Mọc - Hàng Lược,7.4,37500.0,22
Pepperonis Pizza - Hàng Trống,7.5,125000.0,68
Vịt 29 - Thái Hà - Cơm Xôi Phở Cháo,7.1,160000.0,127
50 Dessert - Dừa Dầm & Kem Bơ,5.8,20000.0,34
MIN - Lẩu Sạch & Chân Cánh Gà,7.8,125000.0,24
Stirling Steaks Vietnam,7.9,200000.0,17
Sườn Mười - Sườn Nướng BBQ,7.5,199000.0,137
Góc Đà Lạt - Lẩu Gà Lá É - Mễ Trì Hạ,9.2,250000.0,12
