,name,avgpoint,avg_price,num_reviews,distance
0,"Sushi Garden;Lẩu, Sushi & Sashimi, Salad, Ăn vặt - Ăn nhẹ, Cơm, Nem",7.2,100000.0,67,0.001
1,"Cuốn N Roll Restaurant - Giảng Võ;Heo quay, Bún, Lẩu, Món Huế, Ăn vặt - Ăn nhẹ",7.1,254000.0,64,5.8
2,"Mì Gia Tiến Đạt;Bún, Hủ tiếu, Mì, Món nước, Sủi cảo, Dimsum",7.6,37500.0,18,6.4
3,"Phở Gà 95 - Doãn Kế Thiện;Thịt Gà, Phở, Món nước, Cháo, Miến",7.0,37500.0,1,7.3
4,"Bánh Cuốn Phủ Lý - Đào Duy Từ;Bánh ướt, Bún, Bánh - Kẹo, Bánh cuốn, Ăn vặt - Ăn nhẹ",7.0,42500.0,9,8.5
5,Glamour - Cơm Niêu Singapore;Cơm,3.0,75000.0,1,6.8
6,"Bún Riêu Cua - Giảng Võ;Bún, Món nước",6.8,35000.0,3,5.7
7,Anh Hòa French Bakery - Trường Chinh;Bánh - Kẹo,7.3,325000.0,6,3.6
8,"Vịt Hầm Hồng Kông - 92 Hòa Mã;Vịt tiềm, Lẩu, Thịt Vịt, Ăn vặt - Ăn nhẹ, Nem, Cá/bò viên",6.8,272500.0,2,7.5
9,Vó & Xách Bò - Hòa Mã;Thịt Bò,6.3,60000.0,3,7.5
