name,avgpoint,avg_price,num_reviews,topsis_score,rank
Sushi Garden,7.2,100000.0,67,0.8403292675319051,270
Cuốn N Roll Restaurant - Giảng Võ,7.1,254000.0,64,0.6834894685087254,406
Mì Gia Tiến Đạt,7.6,37500.0,18,0.8948895499645215,62
The Alley - Trà Sữa Đài Loan - Khúc Thừa Dụ,6.5,55500.0,13,0.8478950528276058,246
Hải Sản Hương Lan - Nghĩa Dũng,6.5,127500.0,107,0.7979436833575404,332
Nét Huế - Nguyễn Văn Huyên,7.3,100000.0,23,0.843149196016848,263
Pane e Vino - Ẩm Thực Ý - Nguyễn Khắc Cần,7.8,162500.0,39,0.7942456041620151,337
Kim Oanh - Caramen & Chè Thập Cẩm,7.1,17500.0,25,0.8830021534507894,94
Gà 36 - Hà Đông,6.2,135000.0,22,0.783580010082512,348
Bún Ốc Cô Béo,6.8,42500.0,41,0.864180887526383,187
Minh Food - Nem Chua Rán & Bánh Gà - Shop Online,9.4,35000.0,13,0.958553778416282,11
Meo's House Coffee - Chùa Láng,6.9,40000.0,16,0.8687330179229151,167
Master Tea 美茶 - Đội Cấn,7.9,38000.0,18,0.9055648471234722,44
Topaz Beer Club - Almaz Vinhomes Riverside,8.4,300000.0,12,0.6509831663641583,420
Xôi Sáng - Hàng Hòm,7.7,7500.0,20,0.9068962959169872,40
Izakaya Yancha - Ẩm Thực Nhật Bản - Triệu Việt Vương,7.9,160000.0,56,0.7987621890414028,330
Tiệm Trà Linh Kòy - Thượng Đình,9.8,40000.0,80,0.9607233547086766,10
Duy Tùng - Mì Trộn Indomie - Đào Tấn,7.9,30000.0,25,0.9090574696740412,38
Pop Quán - Chân Gà & Cánh Gà Chiên Mắm - Tây Sơn,6.9,65000.0,24,0.8561499836551525,226
Bánh Tráng Trộn Cô Toàn,6.7,22500.0,280,0.8674098088110742,172
Hotdog Bamy - Quán Thánh,7.1,35000.0,14,0.8778186394026494,124
Chè Khúc Bạch & Ăn Vặt 71 - Khâm Thiên,9.2,95000.0,31,0.8911752888147858,70
Chè Nam Đồng - Khu Tập Thể Thành Công,7.2,17500.0,23,0.8866622268622627,83
Bà Khanh - Trứng Gà Đánh Kem,6.9,20000.0,43,0.8751857082506352,133
Cô Lê - Nem Nướng Nha Trang - Ao Sen,7.2,29000.0,26,0.88354698728724,92
Trà Sữa Feeling Tea - Chùa Láng,7.1,25500.0,101,0.8809838765817511,105
The Olympia Cafe,7.8,37500.0,12,0.9021638744097382,47
Quán Mộc - Bò Tơ - KĐT Nam Cường,7.3,197500.0,12,0.7478402196397422,379
Chè Juco,7.7,15000.0,12,0.9058125399339865,43
Gà Rán KFC - Hoàng Quốc Việt,6.5,80000.0,35,0.8338879508615393,283
Bún Bò Huế Thu Sương - Khuất Duy Tiến,6.5,45000.0,25,0.8527074051106803,234
Phát Ký Mì Gia,7.1,47500.0,43,0.8724351529740145,147
Super Tiger - Sữa Tươi Trân Châu Đường Đen - An Hưng,7.6,40000.0,19,0.8937549063048719,64
Út Thúy - Gỏi Cuốn Sài Gòn,7.5,37500.0,20,0.8912613689189808,69
Loving Hut - Cơm Chay - Chùa Láng,6.8,53500.0,81,0.8590931699266022,215
Pizza Xtrum - Nguyễn Đức Cảnh,6.1,206000.0,14,0.7151372949255589,394
Lotteria - Lotte Center,6.9,75000.0,59,0.849885850242327,240
Chè Mỏ Khoét - Ăn Vặt Các Loại,7.0,15000.0,23,0.8798736877104131,108
Bánh Cuốn Cao Bằng - Nguyễn Văn Lộc,6.0,27500.0,11,0.841710442603464,268
GoGi House - Nướng Hàn Quốc - Royal City,8.1,425000.0,175,0.5109104834879457,439
Isushi Nguyễn Chí Thanh - Nhà Hàng Buffet Nhật Bản,8.0,350000.0,184,0.5905811447815555,434
Sumo BBQ - Nhà Hàng Thịt Nướng Nhật Bản - Tô Hiến Thành,7.6,375000.0,107,0.5576076455151785,437
Sumo BBQ - Nhà Hàng Thịt Nướng Nhật Bản - Savico Mega Mall,8.5,348500.0,38,0.5986999719221806,433
Ngọc Thạch Quán - Sữa Chua & Caramen - Lương Định Của,7.6,20000.0,409,0.9009445066604902,50
"Jinro BBQ - Cơm, Lẩu & Nướng - Nguyễn Chí Thanh",6.8,215000.0,19,0.719997213815038,391
Hẻm Thượng Hải - Chinese BBQ & Dimsum - Nguyễn Thị Định,7.0,155000.0,16,0.7851505767350524,347
Lạ Quán - Lẩu Thái Hải Sản,6.8,24000.0,48,0.8705817641912968,160
Xofa Café & Bistro - Tống Duy Tân,7.7,40000.0,239,0.897360797783748,55
Dồi Sụn Nướng & Ăn Vặt - Shop Online,7.3,58500.0,14,0.8733993106521272,139
Gà Rán Popeyes - Mac Plaza,6.8,115000.0,24,0.8166558156359608,306
Cha Go Tea & Caf'e - Nguyễn Trãi,7.3,65000.0,55,0.8693816228759698,164
Xôi Bà Sòn,6.0,22500.0,11,0.843066818501231,264
Bít Tết Hà Cúc - Hòe Nhai,7.3,95000.0,18,0.8472971355980676,248
Pizza Pompeii's - Pizza Nướng Củi,6.9,272500.0,10,0.6600350066177684,417
Cubin - Cơm Tấm Sườn Nướng & Bún Bò Huế,6.0,40000.0,15,0.8376125626035456,272
Lẩu Nướng Đường Tàu,8.1,220000.0,23,0.7363988166936529,381
Thủy Bụng - Nướng Bình Dân,6.7,75000.0,12,0.8434675770534253,261
Phở Thìn - Đinh Tiên Hoàng,6.2,47500.0,47,0.8414094287870808,269
Bún Thang Bà Đức - 48 Cầu Gỗ,6.3,42500.0,89,0.8468593426738531,255
Bún Chả Que Tre Bình Chung - Trần Xuân Soạn,6.5,52500.0,44,0.8493474837733116,243
Bánh Cuốn Cao Bằng - Thể Giao,7.3,40000.0,12,0.8829705384150173,95
Lẩu Ếch Lò Đúc,6.3,160000.0,28,0.7639311398266655,363
Tiệm Bánh Emoji - Bông Lan Trứng Muối & Đồ Uống Online - Thái Hà,8.2,209000.0,75,0.7500581181093023,375
Cô Tám - Cơm Rang & Cơm Tấm - 126 Hồng Mai,5.6,34500.0,27,0.8261561927020431,287
Phúc Long Hàng Điếu,5.7,50000.0,57,0.8236815763926255,298
Bún Ngan Chặt - Hàng Cân,7.6,37500.0,28,0.8948895499645215,62
Vịt 29 - Tô Hiệu - Cơm Xôi Phở Cháo,6.5,175000.0,38,0.7543593935529431,373
Phở Bò Gốc Gạo - Ngọc Hà,6.9,35000.0,18,0.8706635545702529,158
Paris Baguette - West Lake,7.2,35000.0,15,0.8814199100806568,104
TOUS les JOURS - Keangnam Landmark,6.9,282500.0,12,0.6491047017311095,421
Tiệm Gà Rán Số 19 - Hào Nam,7.5,125000.0,197,0.8258167718471052,289
ThaiExpress - Vincom Center Nguyễn Chí Thanh,6.4,50000.0,40,0.8471029255895421,250
Bún Mọc - Hàng Lược,7.4,37500.0,22,0.8876418085515123,81
Pepperonis Pizza - Hàng Trống,7.5,125000.0,68,0.8258167718471052,289
Vịt 29 - Thái Hà - Cơm Xôi Phở Cháo,7.1,160000.0,127,0.7824668597303855,350
50 Dessert - Dừa Dầm & Kem Bơ,5.8,20000.0,34,0.836936642240505,275
MIN - Lẩu Sạch & Chân Cánh Gà,7.8,125000.0,24,0.8328141668606963,284
Lẩu Nấm Ashima - Huỳnh Thúc Kháng,9.2,215000.0,16,0.7549628526031793,371
Stirling Steaks Vietnam,7.9,200000.0,17,0.7554884657213891,370
